speech_id,topic_id,speech_order,member_name_original,member_name,text,num_words,num_characters
2024-04-02-T-002-S-00011,2024-04-02-T-002,11,Mr Yip Hon Weng (Yio Chu Kang),Yip Hon Weng,"I thank the Senior Parliamentary Secretary for her response. Since 1 December 2023, NEA's enforcement officers have been empowered to take action against individuals who possess vaporisers and cases have been referred to HSA. Two supplementary questions. One, will more agencies come on board as part of this cross-enforcement project? And two, will HSA continue to take the lead on this issue and ensure that, amongst the agencies involved, processes will be aligned, protocols will be made smoother in the apprehension of people who have vaporisers?",86,448
2024-04-02-T-002-S-00012,2024-04-02-T-002,12,Ms Rahayu Mahzam,Rahayu Mahzam,"We will continue to assess and monitor the situation. At this juncture, yes, HSA is the one that is doing the enforcement. When we are involving all these agencies, there is some thought to it. These are the agencies that are relevant in the problem. They are involved because, as I mentioned earlier, there are different aspects of the issue which we want to resolve, and their support and action is also necessary. We need to figure out what is the best approach. It is not just about bringing all different agencies in, but how can they meaningfully come on board to work together. We are looking at how we can ensure effective enforcement and deploy resources meaningfully. I guess that addresses his first question about whether there are other agencies coming on board. We will assess this. In terms of whether there will be guidelines and protocols in place, yes, that is something that is being looked at. At the moment, there is some understanding between the different agencies as to how to make this work meaningfully so that we are having an integrated approach that will help to address the whole problem.",194,903
2024-04-02-T-003-S-00013,2024-04-02-T-003,13,Mr Mark Lee,Mark Lee,"asked the Minister for Education (a) whether the Ministry will consider a classification framework for SkillsFuture courses, featuring a dual-index system with (i) a Mobility Index to assess the potential for career advancement of these skills within and across industries and (ii) an Industry Heat Index to gauge hiring trends in booming sectors; and (b) if so, whether the Ministry can collaborate with trade associations to ensure these indices accurately reflect industry demands, and integrate it into the MySkillsFuture portal for users to make informed choices.",86,469
2024-04-02-T-003-S-00014,2024-04-02-T-003,14,The Minister of State for Education (Ms Gan Siow Huang) (for the Minister for Education),Gan Siow Huang,"Mr Speaker, SkillsFuture Singapore (SSG) works closely with industry partners, such as queen bee companies, trade associations and professional bodies, to analyse market trends in high-growth sectors and translate them into job and skills insights. These are published regularly so that individuals can make use of the information. For example, the annual Skills Demand for the Future Economy report identifies the priority skills for the green, digital and care economies. In relation to the Member’s suggestion of a Mobility Index, the Skills Demand for the Future Economy report provides information on career transition pathways to help individuals with relevant skills pivot to job roles in these growth sectors. Information on hiring demand for these priority skills, in terms of the number of job postings and types of jobs that require these skills, is also provided within the report and as an accompanying Jobs Skills Dashboard, which is similar in intent to the Member’s suggestion of an Industry Heat Index. We welcome partnerships with the industry and trade associations, including the Singapore Business Federation, to further improve the signposting of SkillsFuture courses to individuals seeking to upskill.",186,1016
2024-04-02-T-003-S-00015,2024-04-02-T-003,15,Mr Speaker,Speaker,Mr Mark Lee.,3,9
2024-04-02-T-003-S-00016,2024-04-02-T-003,16,Mr Mark Lee (Nominated Member),Mark Lee,"I thank the Minister of State for her comprehensive reply. I was wondering because if you read the newspaper article on TODAY, there are certain sectors that are saying that there is a large skills mismatch, especially for the tech sector. Perhaps we can work more closely with the business community to ensure that there is more transparency and more signposts for individuals to understand what skills are required within certain specific industries. The trade associations are wanting to work hand-in-hand with you. And maybe there would be a requirement for higher subsidies for maybe the hottest skills that are needed and less for skills that are currently in less demand.",111,559
2024-04-02-T-003-S-00017,2024-04-02-T-003,17,Ms Gan Siow Huang,Gan Siow Huang,"I thank the Member for his suggestion. In fact, SSG welcomes more partnerships with the business associations and trade associations. Just for information, we work very closely with the sector agencies to identify suitable groups that we can work with so that the information on jobs and skills can be made more responsive and available to Singaporeans who are looking for jobs and skills training opportunities.",66,342
2024-04-02-T-004-S-00018,2024-04-02-T-004,18,,,3 To ask the Minister for National Development whether the Ministry will consider offering Parenthood Provisional Housing Scheme rental vouchers of more than $300 a month for couples who are from families with lower household incomes and who stay in smaller flats.,42,217
2024-04-02-T-004-S-00019,2024-04-02-T-004,19,Mr Chua Kheng Wee Louis,Chua Kheng Wee Louis,"asked the Minister for National Development (a) in the last three years, what is the average increase in open market rents for HDB 3-room, 4-room and 5-room flats; (b) whether the Government will consider raising the monthly household income ceiling of $7,000 for families using the Parenthood Provisional Housing Scheme (Open Market) Voucher to rent HDB flats from the open market; and (c) if not, how will the Government assist more young couples to afford interim rental properties in the open market.",82,397
2024-04-02-T-004-S-00020,2024-04-02-T-004,20,Mr Ang Wei Neng (West Coast),Ang Wei Neng,"Question No 3, Sir.",4,13
2024-04-02-T-004-S-00021,2024-04-02-T-004,21,The Second Minister for National Development (Ms Indranee Rajah) (for the Minister for National Development),Indranee Rajah,"Mr Speaker, may I have your permission to answer Question Nos 3 and 4 together.",15,61
2024-04-02-T-004-S-00022,2024-04-02-T-004,22,Mr Speaker,Speaker,Please proceed.,2,13
2024-04-02-T-004-S-00023,2024-04-02-T-004,23,Ms Indranee Rajah,Indranee Rajah,"Open market rents had stayed broadly stable prior to the COVID-19 pandemic but have increased in the past three years due to unprecedented supply-side constraints and increased rental demand arising from COVID-19. In 2021, the average year-on-year increase in open market rents for Housing and Development (HDB) 3-room, 4-room and 5-room flats was 5%. This increased to 35% in 2022, amid the easing of border restrictions and recovery of non-resident rental demand. We have since implemented a suite of measures to support households who need to rent accommodations. These include increasing both private and public housing supply, temporarily relaxing the occupancy cap for larger HDB flats and private residential properties, as well as ramping up our supply of rental flats under the Parenthood Provisional Housing Scheme, or PPHS. Public and private housing rents have shown signs of stabilising. The average year-on-year increase in open market rents for HDB 3-room, 4-room and 5-room flats was 10% in 2023. The PPHS provides a temporary housing option for families with less income at their disposal to rent a flat while waiting for their HDB flats to be completed. HDB is working to double the supply of PPHS flats from about 2,000 units currently to about 4,000 units by 2025. Meanwhile, we will introduce the PPHS (Open Market) Voucher Scheme as a temporary measure to support eligible families who rent HDB flats or bedrooms in the open market. The scheme will run for a one-year period from July 2024 and eligible families will receive $300 per month. Families must be eligible for PPHS and have a rental tenancy registered with HDB.",267,1287
2024-04-02-T-004-S-00024,2024-04-02-T-004,24,,,"The PPHS Voucher parameters have been carefully calibrated to provide some relief for eligible families, while mitigating the potential inflationary impact on the rental market. The $7,000 income ceiling targets our support at families with less income at their disposal to rent on the open market. Given the voucher quantum of $300 per month, eligible families will receive up to $3,600 if they qualify for the full year of support. Families will have the flexibility to select a rental option – whether a whole flat or an HDB bedroom – that suits their budget and needs. There are currently no plans to raise the income ceiling of $7,000 for the PPHS Voucher, or to offer a higher voucher quantum. Households with incomes above $7,000 but have additional expenses due to exceptional circumstances, such as high medical expenses, may approach HDB for help. HDB will consider their applications on a case-by-case basis. Families will also continue to have the option to apply for a PPHS flat offered by HDB. Married couples with children will continue to be given priority for PPHS flats. In recent exercises, all married applicants with children, including those expecting children, had a chance to select a PPHS flat.",201,969
2024-04-02-T-004-S-00025,2024-04-02-T-004,25,Mr Speaker,Speaker,Mr Louis Chua.,3,11
2024-04-02-T-004-S-00026,2024-04-02-T-004,26,Mr Chua Kheng Wee Louis (Sengkang),Chua Kheng Wee Louis,"Thank you, Mr Speaker. Just one supplementary question for the Minister. Given that, if I look at the median rentals of 3- to 4- room flats in the last two years since the income ceiling was introduced in 2021, I think it has gone up by about 30% to 70%, or about $600 to $1,600, a month, which is considerably more than the $300 voucher given, which while would go some way in defraying the rental costs, I wanted to ask the Minister if she would consider whether or not to provide greater assistance, especially for those who are less able to afford it, in the interest of equity, especially if rents continue to increase during this one-year trial period.",120,496
2024-04-02-T-004-S-00027,2024-04-02-T-004,27,Ms Indranee Rajah,Indranee Rajah,"I thank the Member for his supplementary question. I think the first thing to bear in mind is that the $7,000 cap is actually a measure to help those who are less able to afford. That is the first point, because if we did not have that cap or if we increased that cap, you would have more people coming in, and that would drive the rents up. So, the first point to bear in mind is the $7,000 is a way of helping the lower-income group. I think the main point he was asking was whether there would be greater assistance for those less able to afford it. At the moment, there are no plans to increase the voucher amount, but do not forget that we do have plans to double or to increase the number of PPHS flats. So, there is a range of measures. There would be those who would be able to afford, to rent on the open market, whether private or HDB. Then, remember, in 2021, when we first introduced the PPHS, we started at about 800 PPHS units; which, in 2022, we then said we would be increasing to 840. And then by 2023, we actually more than doubled it to about 2,000. And now, we will be doubling it to 4,000. So, by increasing the number of PPHS flats and putting that into the mix, the lower-income can access that, even if they are not using the PPHS voucher. I think what I would like to say is that we will keep an eye on this. We will bear in mind those who are not able to afford, to have such easy access. But for now, there are no plans to increase the amount. And also, for the PPHS voucher, we only just announced it in Budget this year. We have to give it some time to run.",315,1188
2024-04-02-T-005-S-00028,2024-04-02-T-005,28,Mr Yip Hon Weng,Yip Hon Weng,"asked the Minister for Defence in view of the recent incident where a private military conference call in a Singapore hotel was being intercepted (a) whether the Government is investigating the incident to identify and address specific vulnerabilities in our telecommunications infrastructure; and (b) whether there are measures in place to safeguard the security of communications lines originating from Singapore, especially during international meetings and military events which involve high-level foreign dignitaries.",72,443
2024-04-02-T-005-S-00029,2024-04-02-T-005,29,The Senior Minister of State for Defence (Mr Heng Chee How) (for the Minister for Defence),Heng Chee How,"Mr Speaker, this reply will only address the hon Member's question as to whether Singapore can safeguard the security of communications used by visitors to international and military events held here. It is a reply in general, without reference to any incident referred to by the Member. Participants to international events and conferences, including those attended by military personnel and government leaders and officials do not, as a rule, expect the host country to provide secured means of communications. Even if a host country is to offer such means, it is questionable whether foreign participants are comfortable using it. Foreign guests who need to transmit sensitive information will typically arrange their own secured means, such as encryption hardware or software, commercial secured or embassy lines and other security measures. This is the practice of the Ministry of Defence (MINDEF) and the Singapore Armed Forces (SAF) officials when attending meetings overseas.",150,815
2024-04-02-T-005-S-00030,2024-04-02-T-005,30,Mr Speaker,Speaker,Mr Yip Hon Weng.,4,12
2024-04-02-T-005-S-00031,2024-04-02-T-005,31,Mr Yip Hon Weng (Yio Chu Kang),Yip Hon Weng,"Thank you, Mr Speaker. I thank the  Senior Minister of State",11,47
2024-04-02-T-005-S-00032,2024-04-02-T-005,32,Mr Heng Chee How,Heng Chee How,"Mr Speaker, I thank the Member for his supplementary question. First, I must explain that there is a difference between conferences and meetings that are organised by Singapore, that are of a sensitive nature, like Government meetings, military meetings where communications are sensitive. Secured measures are implemented for those meetings. That is one type. Then, there are the general communications that visitors to Singapore – tourists and other visitors to Singapore – may choose to use, such as open communication lines. These are not within the purview of the Government or the military meetings that we are referring to. For those, the visitors would have to, as I said in my reply, take necessary measures themselves, such as using encryption hardware and software, or other means that they are confident of being secure. Overall, we will also encourage everybody to practise cyber hygiene and take care when using, for example, open wi-fi access. For MINDEF and SAF, we take a proactive approach to cybersecurity when we are involved in high signature events, inclusive of those involving high level foreign dignitaries. And we work closely with event organisers, who remain accountable for the overall cybersecurity of these events. These proactive efforts would include identifying events' digital footprint and cybersecurity risk areas, scanning the event websites and checking the commercial systems and applications used for the event, and working out the cybersecurity incident escalation and reporting processes.",235,1262
2024-04-02-T-006-S-00033,2024-04-02-T-006,33,Ms Hany Soh,Hany Soh,"asked the Minister for Trade and Industry in view of JTC Corporation's plan to reclaim 44 hectares of land to expand the Woodlands Checkpoint from the third quarter of 2024 (a) whether the Ministry anticipates any disamenities to residents and commuters in the vicinity; and (b) if so, how will the Ministry mitigate the inconvenience to those who may be affected.",61,290
2024-04-02-T-006-S-00034,2024-04-02-T-006,34,The Minister of State for Trade and Industry (Ms Low Yen Ling) (for the Minister for Trade and Industry),Low Yen Ling,"Mr Speaker, as the appointed agent to carry out reclamation and related works at Woodlands Checkpoint, JTC is mindful that such reclamation works may increase noise, dust and traffic. JTC will ensure the necessary mitigating measures to minimise inconveniences arising from such reclamation work. For example, JTC will erect a three-metre-high noise barrier along the shoreline of Woodlands Waterfront Park and restrict the duration of noisy activities where needed. It will also monitor and manage the air quality throughout the construction period and deploy dust suppression measures, such as water spraying. In addition, JTC will also moderate and monitor the traffic-related construction works to reduce congestion during peak hours.",109,616
2024-04-02-T-006-S-00035,2024-04-02-T-006,35,Mr Speaker,Speaker,Ms Hany Soh.,3,9
2024-04-02-T-006-S-00036,2024-04-02-T-006,36,Ms Hany Soh (Marsiling-Yew Tee),Hany Soh,"I thank Minister of State for her reply. I have a few supplementary questions. One is in relation to the bus service that we understand, at this moment, is used by commuters to the checkpoints. Following from this reclamation, how will this change when the area will be closed, especially for roads around the Woodlands Town Centre? The other question pertains to how this reclamation will affect the environment. In particular, some residents have expressed their concerns about the environmental impact study, whether that has been carried out to address any restoration of the natural habitat and species diversity in the area. Finally, what I also understand is that, as part of these reclamations, there will also be some land that needs to be acquired from Malaysia to expand the checkpoint. How does that impact the development and will there be any delays in Malaysia's decision that may affect the implementation timelines?",152,763
2024-04-02-T-006-S-00037,2024-04-02-T-006,37,Ms Low Yen Ling,Low Yen Ling,"Thank you, Mr Speaker. I want to thank Ms Hany Soh for her three questions. First, let me take the last question about the land. The Woodlands Checkpoint is being redeveloped to provide a more sustainable and a more long-term solution to the chronic congestion at this land crossing, which can be described as the world's busiest and is of importance to both countries. The Immigration and Checkpoints Authority (ICA), under the Ministry of Home Affairs (MHA), is the overall project lead of the redevelopment of the Woodlands Checkpoint. They have conducted very extensive feasibility and technical studies, and assessed that the land needs for the redevelopment of Woodlands Checkpoint can only be met through a mix of land acquisition and land reclamation. I want to assure her that the expanded Woodlands Checkpoint works will not disrupt the operations including of the bus service and so on. There might be some re-routing to keep passengers, commuters and motorists safe, but it will not disrupt the checkpoint operations. The expanded Woodlands Checkpoint will be operationalised progressively from 2028 and redevelopment works will not, like I have mentioned, disrupt the operations. In terms of the first question, she asked about the bus, transport and so on. ICA and JTC do not anticipate any significant traffic diversion or detours due to the reclamation works. Before I talk about the environmental impact assessment (EIA), I know she is serving the residents in that area, together with her Group Representation Constituency (GRC) mates, so, allow me to reassure her that JTC, as the agent appointed to conduct the reclamation works, will work very closely with ICA, as well as with the eventual contractor that has been appointed to do this, to implement necessary mitigating measures, such as the noise barriers I talked about, hoarding and also dust control. I want to assure her that some of the mitigation measures for noise, for example, we have looked into all the details. For example, I mentioned the three-metre-high noise barrier. It will be erected along the shoreline of Woodlands Waterfront Park. I think she is very familiar with it. In fact, the whole length will be 600 metres long. I think she will be very assured by that. The length of the shoreline is about 300 metres and the length perpendicular to the shoreline is about 300 metres, so a total of 600 metres. In terms of dust, I want to also assure her and her residents that JTC and the appointed contractor will certainly monitor the air quality and manage it. We will implement a range of dust control measures, I cited a few; for example, erecting hoarding to contain the dust, spraying water on the reclaimed land, cleaning the tyres of the vehicles at the site exits, keeping speed limits and so on. And in addition to all that, we will also make sure that the dust-intensive activities will be planned in stages or phases, to minimise accumulative dust emissions. I think it is important that I share these details with her and her residents. On the environmental impact analysis, in fact, JTC has conducted a very detailed and in-depth EIA for the reclamation project, and it examines the air and water quality, the noise and the visual impact, the preservation of biodiversity, the habitat disturbances and so on. And she may have noticed that JTC has put out the full EIA report. It was gazetted on 29 January this year and the hard copy was made available for public viewing at JTC Summit for four weeks, from 29 January to 26 February. Even though the public consultation has ended, if any parties are interested, including the residents, they can still write to JTC to review it. The assessment revealed that the impact on the biodiversity would be considered insignificant with the mitigation measures carried out during the redevelopment of the Woodlands Checkpoint. The report does not expect major environmental concerns from the construction works. I want to assure her that all hands are on deck, not just within the Ministry of Trade and Industry and JTC, but together with ICA, in fact, the Housing and Development Board (HDB) as well and the appointed contractors to put in all the necessary measures to minimise disamenities to the residents, the commuters and also to the environment.",720,3459
2024-04-02-T-006-S-00038,2024-04-02-T-006,38,Mr Speaker,Speaker,Ms Soh.,2,5
2024-04-02-T-006-S-00039,2024-04-02-T-006,39,Ms Hany Soh,Hany Soh,"Thank you, Minister of State. Just one quick clarification, which I also seek your reassurance on. I understand that the viaduct that will be constructed will run through the Marsiling Park area. So, will the relevant agencies be taking this opportunity to have a huddle and have a better understanding on how certain facilities will be improved, and also to minimise the disamenities that the park users will face around the area?",72,352
2024-04-02-T-006-S-00040,2024-04-02-T-006,40,Ms Low Yen Ling,Low Yen Ling,"Mr Speaker, I want to thank the Member Ms Hany Soh for her follow-up supplementary questions. And her question on the viaduct is part of the broader Woodlands Checkpoint expansion that MHA and ICA are undertaking. So, this part does not come under the JTC reclamation works, but in the spirit of whole-of-Government, we welcome her to file a separate Parliamentary Question, and our counterparts at MHA will certainly provide her the details. I know that MHA, ICA and HDB colleagues have as early as 2022 conducted door-to-door visits, conducted dialogues. And these dialogues will continue, and in fact, will intensify. As far as JTC is concerned, we are currently evaluating the tender to appoint the contractor, and once that has been finalised, we will conduct regular meetings between JTC and the contractor. The contractor will also appoint designated contact persons, more than one, in fact; and all these will be placed on notices at each HDB block and also at the hoarding, to make it easier for her, her community leaders, for the residents to give feedback. We certainly will put together the multi-agency team to bridge the communications with her and her team.",195,943
2024-04-02-T-007-S-00041,2024-04-02-T-007,41,Ms He Ting Ru,He Ting Ru,"asked the Minister for National Development (a) whether the Government intends to take into account the Environmental Impact Study that was undertaken during the development of the former Keppel Club site, which found ecological connectivity for birds between the Southern Ridges and Labrador Nature Reserve, when conducting environmental studies of the proposed development of Gillman Barracks; and (b) if so, how will the Ministry ensure that any future development of Gillman Barracks will not significantly compromise this important ecological connectivity. asked the Minister for National Development (a) whether rejuvenation plans for Gillman Barracks that were announced by the Singapore Land Authority in 2022 will be taken into account when studying the future development of Gillman Barracks; and (b) whether the environmental and heritage studies commissioned for the potential development of the area will be accessible to environmental groups and the wider public.",142,817
2024-04-02-T-007-S-00042,2024-04-02-T-007,42,The Minister for National Development (Mr Desmond Lee),Desmond Lee,"Mr Speaker, may I have your permission to answer Parliamentary Question Nos 7 and 8 on today’s Order Paper, as they both relate to the plans for Gillman Barracks?",29,128
2024-04-02-T-007-S-00043,2024-04-02-T-007,43,Mr Speaker,Speaker,Please proceed.,2,13
2024-04-02-T-007-S-00044,2024-04-02-T-007,44,Mr Desmond Lee,Desmond Lee,"Thank you, Sir.  As announced during the recent Committee of Supply debate, the Government is studying the possibility of redeveloping the Gillman Barracks site for a mix of public and private housing. This will not affect the committed tenure of existing tenancies, which will progressively expire by 2030. We will commence environmental and heritage studies in the second quarter of this year to guide the sensitive development of the site. When the studies are complete, we will publish these reports online for members of the public to provide their feedback. Our plans will also take into account past studies, including findings on ecological connectivity from the National Parks Board (NParks’) Ecological Profiling Exercise (EPE) and the Environmental Impact Study (EIS) for the redevelopment of the former Keppel Golf Course site.",130,687
2024-04-02-T-007-S-00045,2024-04-02-T-007,45,Mr Speaker,Speaker,Ms He.,2,4
2024-04-02-T-007-S-00046,2024-04-02-T-007,46,Ms He Ting Ru (Sengkang),He Ting Ru,"I thank the Minister for his reply. I have a couple of supplementary questions. First is, in terms of the previous environmental impact assessments that were done, which found a significant ecological connectivity between the Keppel Club site and also the Southern Ridges and Labrador Nature Reserve site. The EIS for the nearby Keppel Club site found that even with mitigation measures, redevelopment could have major residual impact on biodiversity due to permanent habitat loss and fragmentation. In light of this, can the Minister clarify what specific plans are in place to designate sizeable core habitat patches and green corridors within Gillman Barracks to maintain landscape connectivity between the Labrador Nature Reserve, the Southern Ridges and the Greater Southern Waterfront? If there are no such plans, how does the Government intend to prevent critical ecological linkages from being irreversibly compromised? I also heard the Minister mention earlier that the existing tenants whose leases will run out progressively until 2030, will not be affected if the plans to redevelop the site goes ahead at Gillman Barracks. However, I anticipate that there will be some new tenants who might come in and can the Minister confirm whether the leases will run beyond 2030? And also, will help be given to these tenants who come in a bit later, especially during the rejuvenation period? Will there be help given to them to find new leases elsewhere if the redevelopment plans actually do go through? And finally, my last supplementary question is, I think the Minister mentioned earlier that there will be certain heritage and environmental impact assessments also carried out and that these will be made available. Can I ask whether the reports will eventually be made available in full for the public, because I understand that sometimes these are only made available in a redacted form. So, can I ask whether these will be made available in full?",316,1608
2024-04-02-T-007-S-00047,2024-04-02-T-007,47,Mr Desmond Lee,Desmond Lee,"I thank the Member for the three supplementary questions. As I said earlier in my reply, the masterplanning for the Gillman Barracks site will take place after we have done detailed environmental and heritage studies and that the planning for Gillman Barracks will take into account the EIS findings for the Keppel Golf Course site, in as far as the EPE findings are concerned. In the Keppel Golf Course EPE, we identified five corridors that need to be provided for, even as we redevelop the site for residential housing on the golf course. And we will make sure that that ecological connectivity is provided for, in the surroundings of the Keppel Golf Course. On lease, as I have said, the site had been made available for interim use since the 1990s. The existing tenancies will progressively expire by 2030. Thereafter, we will plan for the entire site, including residential as well as the commercial uses of the site. And so, at that point in time, we will engage the tenants, engage future tenants as far as the commercial use of the site is concerned. [Please refer to ""Clarification by Minister for National Development"", Official Report, 2 April 2024, Vol 95, Issue 133, Correction By Written Statement section.] As for heritage, the studies for both the environmental and heritage studies will be made available online. As with all these studies, they come in large volumes with lots and lots of technical detail. We will make sure that what we put out is meaningful for members of the public as well as experts to be able to understand and comment on.",269,1242
2024-04-02-T-008-S-00048,2024-04-02-T-008,48,,,9 To ask the Minister for Social and Family Development (a) what is the proportion and number of families who have received ComCare support in the past 24 months who do not live in public rental housing; and (b) whether the ComLink+ package can be extended to lower-income families who do not live in public rental housing.,57,256
2024-04-02-T-008-S-00049,2024-04-02-T-008,49,Mr Zhulkarnain Abdul Rahim (Chua Chu Kang),Zhulkarnain Abdul Rahim,"Question No 9, Sir.",4,13
2024-04-02-T-008-S-00050,2024-04-02-T-008,50,The Senior Parliamentary Secretary to the Minister for Social and Family Development (Mr Eric Chua) (for the Minister for Social and Family Development),Eric Chua,"Sir, around half of households that received ComCare support in 2022 and 2023 did not reside in public rental housing. This translates to about 20,000 households. Many of these received Short- to Medium-Term Assistance, and may have been going through a temporary setback in life. In addition to families with children residing in public rental housing, the Ministry of Social and Family Development (MSF) will also offer ComLink+ to lower-income families that are not residing in public rental housing but who are eligible for KidSTART or the UPLIFT Community Network. We aim to reach 3,000 such households over the next three years. Like other ComLink+ families, these families can be offered the ComLink+ Progress Packages if they take active steps towards securing a better future for themselves. ComLink+ represents society’s determination and good intention to uplift our lower-income households and to ensure no one is left behind as Singapore progresses. MSF’s focus during the three-year pilot is to make sure that we translate intentions into concrete and significant results for these families. Only then would we consider if ComLink+ should be expanded further to cover other groups of lower-income families.",190,984
2024-04-02-T-008-S-00051,2024-04-02-T-008,51,Mr Speaker,Speaker,Mr Zhulkarnain.,2,13
2024-04-02-T-008-S-00052,2024-04-02-T-008,52,Mr Zhulkarnain Abdul Rahim,Zhulkarnain Abdul Rahim,"Thank you, Speaker. I thank the Senior Parliamentary Secretary for the answer. Of the 20,000 households not in public rental housing and receiving ComCare, how many are there not already enrolled in KidSTART, UPLIFT or Project DIAN, and what are the plans to engage these families in order to extend ComLink+ to them?",53,251
